,year,ccode,GDP,log_GDP,GDP_growth,Country,PDebt,LTrate,rminusg,population,log_population,pop_growth,CAbalance,rgNegative,primaryFB,outputgap,real_GDP_growth,ka_open,finreform,inflation,geopoliticalRisk,VIX,REER,TaxRevenue,FiscalBalance,Freedom_Index_overall,Freedom_Index_Property_Rights,lengthRGepisode,InitialPDebtRGepisode,YNRGepisode,EuroMembership,BankingCrisis,EuroCrisis,PeripheryEuroCrisis,EuroCrisis2012,GDP_World_Bank,Net_foreign_assets_World_Bank,World_GDP,LTrate_Germany,LTrate_USA,kof_econ,kof_trade,kof_financial,PeripheryEuroCrisis20082015,EuroCrisis20082015,Post2007,safe_haven_past,lead_rminusg_1,lead_rminusg_2,lead_rminusg_3,lead_rminusg_4,lead_rminusg_5,lead_rminusg_6,lead_rminusg_7,lead_rminusg_8,lead_rminusg_9,lead_rminusg_10,EuroCrisis20082012,Standalone20102012,Standalone20082012,Standalone20082015,kof_financial_df,kof_financial_dj,safe_Germany,safe_USA,safe_benchmark,Inflation_difference_Germany,Inflation_difference_USA,spread_Germany,rminusg_future3,rminusg_future5,rminusg_future10,LTrate_future3,LTrate_future5,LTrate_future10,GDP_growth_future3,GDP_growth_future5,GDP_growth_future10,PDebt_future3,PDebt_future5,PDebt_future10,Eurozone
11,1970,AUS,58744.426,10.98095155,11.94185167,Australia,NA,6.646667,-5.295184673,12507000,16.34179905,1.970188879,NA,1,NA,NA,7.172186576,0.4165,NA,3.439153439,NA,NA,NA,9.473,-1.530485687,NA,NA,0,0,0,0,0,0,0,0,41271138985,1555000012,2.99E+12,8.316667,7.348333,41.46,40.04,42.87,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,40.01,45.73,NA,NA,NA,-0.011088228,-2.399101899,-1.67,-3.248812743,-2.308708412,-0.786755337,6.492777333,7.6513332,8.8970832,9.741590076,9.960041612,9.683838537,NA,NA,NA,0
12,1971,AUS,64011.08,11.06681147,8.585992145,Australia,NA,6.713333,-1.872659145,12937000,16.37560198,3.380293537,NA,1,NA,NA,4.003683534,0.4165,NA,6.138107417,NA,NA,NA,11.04,-1.497167521,NA,NA,0,0,0,0,0,0,0,0,45149512823,2657464308,3.30E+12,7.991667,6.159167,41.94,39.96,43.93,0,0,0,NA,-5.295184673,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,42.12,45.73,NA,NA,NA,0.897133246,1.845340729,-1.278334,-2.634708828,-1.407125881,-0.601600619,7.267222,8.3148326,9.6215829,9.901930828,9.721958481,10.22318352,NA,NA,NA,0
13,1972,AUS,69667.086,11.15148326,8.467178904,Australia,NA,5.831666,-2.635512904,13177000,16.39398344,1.838146263,NA,1,3.915406592,NA,3.91252353,0.4165,NA,6.024096386,NA,NA,NA,12.698,-1.963937524,NA,NA,0,0,0,0,0,0,0,0,51967289720,4575820877,3.81E+12,7.875,6.21,42.41,39.77,45.05,0,0,0,NA,-1.872659145,-5.295184673,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,44.36,45.73,NA,NA,NA,0.539159667,2.751818139,-2.043334,-2.345123337,0.048507828,0.997246444,8.570555667,9.1938334,10.5759163,10.915679,9.145325572,9.578669856,NA,NA,NA,0
14,1973,AUS,78684.326,11.27319925,12.17159918,Australia,NA,6.933333,-5.23826618,13380000,16.40927161,1.528816914,NA,1,2.605677552,NA,2.613723151,0.4165,0.0952381,9.090909091,NA,NA,NA,19.316,-0.827913459,NA,NA,0,0,0,0,0,0,0,0,63737347854,3692170064,4.64E+12,9.308333,6.8425,41.75,40.02,43.49,0,0,0,NA,-2.635512904,-1.872659145,-5.295184673,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,41.24,45.73,NA,NA,NA,2.058883367,2.913149027,-2.375,0.279383226,0.669358462,2.138876171,9.603054667,9.6191668,11.271333,9.323671441,8.949808338,9.132456829,NA,NA,NA,0
15,1974,AUS,86152.081,11.3638694,9.067014401,Australia,NA,9.036667,-0.030347401,13723000,16.43458382,2.531220259,NA,1,3.353013743,NA,4.103362161,0.4165,0.0952381,15.41666667,NA,NA,NA,25.295,-3.450020377,NA,NA,0,0,0,0,0,0,0,0,88831245394,2909441480,5.35E+12,10.44167,7.5575,41.19,41.13,41.25,0,0,0,NA,-5.23826618,-2.635512904,-1.872659145,-5.295184673,NA,NA,NA,NA,NA,NA,0,0,0,0,36.77,45.73,0.688645484,0.460294803,0.460294803,8.430234245,4.36186187,-1.405003,1.837050908,0.382340719,2.748177731,9.999722333,9.7616666,11.7201663,8.162671426,9.379325881,8.971988569,NA,NA,NA,0
16,1975,AUS,96659.873,11.47895363,11.50842343,Australia,NA,9.741667,-1.766756431,13893000,16.44689567,1.231185888,NA,1,0.031455677,NA,1.349916787,0.4165,0.0952381,15.16245487,NA,NA,NA,27.802,-4.301126943,NA,NA,6,0,0,0,0,0,0,0,97171924075,2696244078,5.95E+12,8.675,7.9875,40.74,40.24,41.24,0,0,0,NA,-0.030347401,-5.23826618,-2.635512904,-1.872659145,-5.295184673,NA,NA,NA,NA,NA,0,0,0,0,36.76,45.73,0.925318486,0.725083897,0.725083897,9.252126025,6.019308005,1.066667,1.714632048,0.735197738,3.540951926,9.7725,10.1428332,12.1414166,8.057867952,9.407635462,8.600464674,NA,NA,NA,0
17,1976,AUS,104079.405,11.5529094,7.39557649,Australia,NA,10.03083,2.63525351,14033000,16.45692226,1.00265826,NA,0,-1.528296052,NA,2.5876962,0.4165,0.0952381,13.32288401,NA,NA,NA,30.092,-4.176988571,NA,NA,0,0,0,0,0,0,0,0,1.05E+11,2125773331,6.48E+12,8.033334,7.611667,40.54,40.11,40.97,0,0,0,NA,-1.766756431,-0.030347401,-5.23826618,-2.635512904,-1.872659145,-5.295184673,NA,NA,NA,NA,0,0,0,0,36.21,45.73,0.608716536,0.847200957,0.847200957,9.076249402,7.578071375,1.997496,0.347735506,0.203924642,4.145657925,9.678612,10.9283332,12.4800006,9.330876494,10.72440856,8.334342675,NA,NA,NA,0
18,1977,AUS,110056.543,11.60874954,5.584014357,Australia,NA,10.22667,4.642655643,14192000,16.46818898,1.12667268,NA,0,0.973572898,NA,3.597427567,0.4165,0.0952381,12.30982019,NA,NA,NA,29.622,-5.076296953,NA,NA,0,0,0,0,0,0,0,0,1.10E+11,2346914303,7.33E+12,6.533333,7.419167,42.33,40.46,44.2,0,0,0,NA,2.63525351,-1.766756431,-0.030347401,-5.23826618,-2.635512904,-1.872659145,-5.295184673,NA,NA,NA,0,0,0,0,36.16,52.24,0.309943154,0.841079436,0.841079436,8.575651766,5.808136195,3.693337,-1.200640155,1.945985059,4.164239475,10.152222,11.9579992,12.7765006,11.35286215,10.01201414,8.612261125,NA,NA,NA,0
19,1978,AUS,123092.289,11.72068967,11.19401301,Australia,NA,9.06,-2.13401301,14358000,16.47981784,1.162885259,NA,1,0.476337084,NA,0.896879846,0.4165,0.0952381,8.004926108,NA,NA,NA,33.336,-4.766121076,NA,NA,0,0,0,0,0,0,0,0,1.18E+11,2709271686,8.63E+12,6.133333,8.41,42.99,41.41,44.57,0,0,0,NA,4.642655643,2.63525351,-1.766756431,-0.030347401,-5.23826618,-2.635512904,-1.872659145,-5.295184673,NA,NA,0,0,0,0,36.91,52.24,-0.104571218,0.810229375,0.810229375,5.286235572,0.373962269,2.926667,-0.496339807,3.608393879,4.778493405,11.78499867,12.9234992,13.0809176,12.28133847,9.315105321,8.302424195,NA,NA,NA,0
20,1979,AUS,137700.414,11.83283569,11.21460212,Australia,NA,9.749166,-1.465436117,14514000,16.49062426,1.08064227,NA,1,0.645178135,NA,4.043486692,0.4165,0.0952381,9.122006842,NA,NA,NA,37.789,-3.155686485,NA,NA,0,0,0,0,0,0,0,0,1.35E+11,3265739207,1.00E+13,7.566667,9.4425,43.23,41.79,44.66,0,0,0,NA,-2.13401301,4.642655643,2.63525351,-1.766756431,-0.030347401,-5.23826618,-2.635512904,-1.872659145,-5.295184673,NA,0,0,0,0,37.09,52.24,-0.18756429,0.761401358,0.761401358,5.078384836,-2.132464288,2.182499,4.443124808,5.114014742,5.693308945,13.66027667,13.678666,13.446834,9.217151859,8.564651258,7.753525055,NA,NA,17.054397,0
21,1980,AUS,154714.29,11.9493354,11.64997134,Australia,NA,11.6475,-0.002471338,14692000,16.50281369,1.21894271,NA,1,1.427329194,-0.899,3.034245871,0.4165,0.0952381,10.13584117,NA,NA,92.31054008,45.465,-3.330441298,NA,NA,0,0,0,0,0,0,0,0,1.50E+11,5146205321,1.13E+13,8.425,11.46,44.25,42.66,45.84,0,0,0,NA,-1.465436117,-2.13401301,4.642655643,2.63525351,-1.766756431,-0.030347401,-5.23826618,-2.635512904,-1.872659145,-5.295184673,0,0,0,0,38.95,52.73,-0.21960784,0.723948759,0.723948759,4.694784979,-3.4133608,3.2225,6.503292283,6.346706114,6.860864479,14.40694333,14.14,13.600084,7.90365105,7.793293886,6.739219521,NA,NA,16.749169,0
22,1981,AUS,177927.212,12.08912982,13.97944197,Australia,NA,13.95833,-0.021111967,14927000,16.51868221,1.586852569,NA,1,2.170732129,0.564,3.337768138,0.4165,0.1428571,9.487666034,NA,NA,100.2551129,53.287,-3.729201544,NA,NA,4,0,0,0,0,0,0,0,1.77E+11,3481111038,1.17E+13,10.13333,13.91083,45.1,42.09,48.11,0,0,0,NA,-0.002471338,-1.465436117,-2.13401301,4.642655643,2.63525351,-1.766756431,-0.030347401,-5.23826618,-2.635512904,-1.872659145,0,0,0,0,38.08,58.15,-0.141024676,0.793830555,0.793830555,3.143425114,-0.847049306,3.825,8.531219005,8.087391208,7.615717429,14.2625,14.031668,13.273334,5.731280995,5.944276792,5.657616571,NA,NA,18.38311467,0
23,1982,AUS,181561.596,12.10935025,2.022042272,Australia,NA,15.375,13.35295773,15178000,16.53535757,1.667535733,NA,0,2.493006288,-1.753,3.328441934,0.4165,0.2857143,11.35181976,NA,NA,100.6493915,51.521,-5.697912316,NA,NA,0,0,0,0,0,0,0,0,1.94E+11,8559855686,1.16E+13,8.908334,13.00167,45.35,41.85,48.84,0,0,0,NA,-0.021111967,-0.002471338,-1.465436117,-2.13401301,4.642655643,2.63525351,-1.766756431,-0.030347401,-5.23826618,-2.635512904,0,0,0,0,39.31,58.38,0.201810328,0.885426358,0.885426358,6.110772634,5.22039276,6.466666,6.133894936,6.382493891,6.57000927,13.78889,13.595002,12.657834,7.654995064,7.212508109,6.08782473,NA,NA,20.70685725,0
24,1983,AUS,196112.732,12.18644494,7.709468912,Australia,NA,13.8875,6.178031088,15369000,16.54786305,1.250548264,NA,0,0.989281482,-4.81,-2.220470122,0.4165,0.3333333,10.03891051,NA,NA,98.59797174,50.231,-6.084507306,NA,NA,0,0,0,0,0,0,0,0,1.77E+11,12325047371,1.18E+13,8.083333,11.105,46.31,41.73,50.88,0,0,0,NA,13.35295773,-0.021111967,-0.002471338,-1.465436117,-2.13401301,4.642655643,2.63525351,-1.766756431,-0.030347401,-5.23826618,0,0,0,0,43,58.76,0.243844016,0.914388287,0.914388287,6.745495907,6.826475277,5.804167,6.968655741,5.948592932,6.068933467,13.63194667,13.238336,11.9971673,6.663290926,7.289743068,5.928233833,NA,NA,22.7094674,0
25,1984,AUS,211307.195,12.26106825,7.4623318,Australia,NA,13.525,6.0626682,15544000,16.55918527,1.132221845,NA,0,-0.032630863,-2.656,4.581297219,0.4766,0.4761905,3.96039604,NA,NA,101.7143325,57.073,-5.792154843,NA,NA,0,0,0,0,0,0,0,0,1.93E+11,11008031767,1.23E+13,7.958333,12.43833,47.29,42.16,52.43,0,0,0,NA,6.178031088,13.35295773,-0.021111967,-0.002471338,-1.465436117,-2.13401301,4.642655643,2.63525351,-1.766756431,-0.030347401,0,0,0,0,41.69,63.16,0.202527692,0.913763629,0.913763629,1.554600971,-0.340139435,5.566667,6.557256723,6.272603147,5.676575979,13.52083667,13.215002,11.548834,6.963579944,6.942398853,5.872258021,NA,17.054397,24.22158233,0
26,1985,AUS,228433.427,12.3390001,7.793184481,Australia,NA,13.95417,6.160985519,15758000,16.57285873,1.367346075,NA,0,0.968680677,-1.355,5.249329609,0.8198,0.6190476,6.734693878,79.58,NA,85.60410719,50.455,-5.20250538,NA,NA,0,0,0,0,0,0,0,0,1.80E+11,9539764704,1.29E+13,7.041667,10.62333,48.78,42.07,55.5,0,0,0,NA,6.0626682,6.178031088,13.35295773,-0.021111967,-0.002471338,-1.465436117,-2.13401301,4.642655643,2.63525351,-1.766756431,0,0,0,0,44.12,66.88,0.166703413,0.922332572,0.922332572,4.668463146,3.189049726,6.912503,5.839770313,7.375022845,5.410465034,12.90417,13.060168,11.0745066,7.064399687,5.685145155,5.664041566,NA,16.749169,25.22323629,0
27,1986,AUS,239508.375,12.38634366,4.734356496,Australia,NA,13.41667,8.682313504,16018400,16.58924862,1.638988867,NA,0,1.738816262,-1.925,4.037528851,0.8799,0.5714286,9.050350542,82.59,NA,74.87763499,54.499,-3.525602884,NA,NA,0,0,0,0,0,0,0,0,1.82E+11,6584902280,1.52E+13,6.158333,7.6825,49.88,41.91,57.86,0,0,0,NA,6.160985519,6.0626682,6.178031088,13.35295773,-0.021111967,-0.002471338,-1.465436117,-2.13401301,4.642655643,2.63525351,0,0,0,0,48.32,67.39,0.067536639,0.91284159,0.91284159,9.179763347,7.15230282,7.258337,5.506572237,7.14404365,4.861632215,12.90139,12.515,10.5537603,7.394817763,5.37095635,5.692128085,17.054397,18.38311467,25.74805413,0
28,1987,AUS,260400.381,12.46997565,8.363198854,Australia,NA,13.19167,4.828471146,16263900,16.60445849,1.520986626,NA,0,2.637258558,-1.064,2.551170459,0.9399,0.6666667,8.533021625,75.46,NA,74.72432904,64.928,-1.787031977,NA,NA,0,0,0,0,0,0,0,0,1.89E+11,7282528559,1.73E+13,6.25,8.384167,51.76,43.09,60.42,0,0,0,NA,8.682313504,6.160985519,6.0626682,6.178031088,13.35295773,-0.021111967,-0.002471338,-1.465436117,-2.13401301,4.642655643,0,0,0,0,53.43,67.4,-0.038917095,0.839258,0.839258,8.283115465,4.868458407,6.94167,7.788109859,6.757524648,4.469220342,12.8975,11.720666,9.9300851,5.109390141,4.963141352,5.460864758,16.749169,20.70685725,25.77162233,0
29,1988,AUS,282358.294,12.55093209,8.095643711,Australia,NA,12.10417,4.008526289,16532200,16.62082055,1.636206657,NA,0,3.79021672,-0.865,5.743381585,1,0.7142857,7.215939688,58.9,NA,82.66402253,81.213,-1.036361064,NA,NA,0,0,0,0,0,0,0,0,2.36E+11,10337173661,1.94E+13,6.491667,8.845834,52.9,43.03,62.77,0,0,0,NA,4.828471146,8.682313504,6.160985519,6.0626682,6.178031088,13.35295773,-0.021111967,-0.002471338,-1.465436117,-2.13401301,0,0,0,0,55.43,70.1,-0.106485576,0.804203126,0.804203126,5.941815716,3.138198581,5.612503,8.961073605,6.189274002,4.027213925,12.42638667,10.7559986,9.2689651,3.465313062,4.566724598,5.241751175,18.38311467,22.7094674,25.5698196,0
30,1989,AUS,298996.814,12.6081882,5.725610724,Australia,17.054397,13.40833,7.682719276,16814400,16.63774622,1.69256678,-6.128234035,0,4.838879949,1.684,3.861173516,1,0.7142857,7.533902562,52.51,NA,88.70627273,89.447,-2.0895855,NA,NA,0,0,0,0,0,0,0,0,2.99E+11,1724191005,2.02E+13,7.025,8.498333,51.73,42.12,61.34,0,0,0,NA,4.008526289,4.828471146,8.682313504,6.160985519,6.0626682,6.178031088,13.35295773,-0.021111967,-0.002471338,-1.465436117,0,0,0,0,52.69,69.98,-0.131149698,0.796685932,0.796685932,4.753342755,2.706899532,6.38333,7.365459225,5.080548811,3.193602466,11.03027667,9.882666,8.5290633,3.664817442,4.802117189,5.335460834,21.924344,25.6550194,26.1237444,0
31,1990,AUS,303536.564,12.62325736,1.506915989,Australia,16.443941,13.18,11.67308401,17065100,16.652546,1.479978016,-4.997851317,0,4.366698309,0.623,3.570998147,1,0.7142857,7.333021952,96.74,23.06347826,86.52113832,90.886,-3.316645958,NA,NA,0,0,0,0,0,0,0,0,3.11E+11,-5835259772,2.28E+13,8.726666,8.55,52.36,42.45,62.28,0,0,0,NA,7.682719276,4.008526289,4.828471146,8.682313504,6.160985519,6.0626682,6.178031088,13.35295773,-0.021111967,-0.002471338,0,0,0,0,54.77,69.79,-0.15855037,0.767937523,0.767937523,4.636550574,1.935065512,4.453334,3.863522242,3.445907223,2.126139294,9.063887667,9.0888452,7.8425202,5.200365425,5.642937977,5.716380906,26.68299967,28.6128632,26.434631,0
32,1991,AUS,313292.169,12.65489148,3.163412473,Australia,21.651006,10.69083,7.527417527,17284000,16.66529178,1.274577578,-3.254117775,0,2.447815782,-2.837,-0.3978177,1,0.7142857,3.17667537,79.01,18.37337302,85.13811526,87.734,-5.801437814,NA,NA,0,0,0,0,0,0,0,0,3.25E+11,-13285010445,2.39E+13,8.445833,7.858333,52.93,43.08,62.78,0,0,0,NA,11.67308401,7.682719276,4.008526289,4.828471146,8.682313504,6.160985519,6.0626682,6.178031088,13.35295773,-0.021111967,0,0,0,0,52.52,73.03,-0.128571734,0.747480416,0.747480416,-0.870361446,-1.058288595,2.244997,2.067414172,2.579220781,1.37678976,8.514166667,8.5925206,7.3349636,6.446752495,6.013299819,5.95817384,30.06005,30.1670178,25.9864664,0
33,1992,AUS,333745.071,12.71813272,6.324123863,Australia,27.678085,9.22,2.895876137,17495000,16.67742568,1.213390775,-3.174455003,0,-0.739045749,-3.099,0.412184701,1,0.8095238,1.012231126,41.35,15.45204724,76.91820465,85.059,-6.180691344,NA,NA,0,0,0,0,0,0,0,0,3.25E+11,-20627007258,2.54E+13,7.835208,7.01,53.43,44.38,62.47,0,0,0,NA,7.527417527,11.67308401,7.682719276,4.008526289,4.828471146,8.682313504,6.160985519,6.0626682,6.178031088,13.35295773,0,0,0,0,49.97,74.98,-0.130372894,0.745301502,0.745301502,-4.044748196,-2.016588552,1.384792,2.268747484,2.180916035,1.143490379,8.511132,8.1395042,6.9973594,6.242384516,5.958588165,5.853869021,31.245075,29.8234344,24.7235466,0
34,1993,AUS,354785.379,12.77926832,6.113559939,Australia,30.719908,7.280833,1.167273061,17667000,16.68720905,0.978336681,-2.981717559,0,-1.609860589,-2.263,4.029906461,1,0.8095238,1.753653445,46.82,12.68624506,71.60444901,84.119,-4.421805222,NA,NA,0,0,0,0,0,0,0,0,3.12E+11,-25080219751,2.59E+13,6.496459,5.873333,55.31,46.21,64.41,0,0,0,NA,2.895876137,7.527417527,11.67308401,7.682719276,4.008526289,4.828471146,8.682313504,6.160985519,6.0626682,6.178031088,0,0,0,0,51.93,76.89,-0.126858122,0.750645165,0.750645165,-2.72092161,-1.198003521,0.784374,2.944318235,1.865153847,0.969756056,8.82059,7.7819316,6.8059537,5.876271765,5.916777753,5.836197644,30.81236533,28.4301718,22.9741086,0
35,1994,AUS,380139.685,12.84829406,6.902573683,Australia,31.782157,9.041667,2.139093317,17855000,16.69779414,1.058508842,-4.923144328,0,-0.797742083,-0.709,3.983890153,1,0.952381,1.969634797,43.91,13.92551587,75.18401762,99.367,-4.152521296,NA,NA,0,0,0,0,0,0,0,0,3.22E+11,-16062920104,2.78E+13,6.884414,7.08,58.13,48.87,67.4,0,0,0,0.852450027,1.167273061,2.895876137,7.527417527,11.67308401,7.682719276,4.008526289,4.828471146,8.682313504,6.160985519,6.0626682,0,0,0,0,57.22,77.57,-0.053909134,0.768896066,0.768896066,-0.723422584,-0.637806795,2.157253,2.532737933,1.306656122,0.71854827,8.125007,7.1754606,6.4608645,5.592269067,5.868804478,5.74231623,28.87170233,26.5924694,20.9902478,0
36,1995,AUS,402481.437,12.90540426,5.711019926,Australia,31.23316,9.210896,3.499876074,18072000,16.70987434,1.208019812,-5.083988686,0,NA,-1.152,3.837755293,1,0.952381,4.6277666,35.57,12.38876984,73.50024774,110.577,-2.905047204,74.1,90,0,0,0,0,0,0,0,0,3.67E+11,-24471517443,3.09E+13,6.850543,6.58,59.18,49.81,68.54,0,0,0,0.979565429,2.139093317,1.167273061,2.895876137,7.527417527,11.67308401,7.682719276,4.008526289,4.828471146,8.682313504,6.160985519,0,0,0,0,57.89,79.19,-0.03196331,0.773020329,0.773020329,2.921606076,1.822346911,2.360353,1.228933282,0.806371364,0.289674654,6.885698333,6.5961952,6.0737722,5.656765051,5.789823836,5.784097546,26.378514,24.2563988,18.9563585,0
